Date/Time,Type,Mode_of_Communication,Patron type,Details,Location
8/26/14 14:56,Directional,In Person,Undergrad,,San Francisco
8/26/14 14:58,Directional,In Person,Grad Student,,San Francisco
8/27/14 9:51,Service,In Person,Undergrad,Printing,San Francisco
8/27/14 11:00,Technical/Computing,In Person,Faculty,Printing,Oakland
8/27/14 11:15,Service,Phone,,Printing,San Francisco
8/27/14 11:25,Service,In Person,Grad Student,,San Francisco
8/27/14 12:35,Service,In Person,Grad Student,Printing,San Francisco
8/27/14 13:41,Technical/Computing,In Person,,Printing,Oakland
8/27/14 14:01,Technical/Computing,In Person,,Printing,Oakland
8/27/14 14:02,Technical/Computing,Email,Faculty,VAULT,Online
8/27/14 14:12,Service,In Person,Undergrad,,San Francisco
8/27/14 14:17,Directional,In Person,,,Oakland
8/27/14 14:48,Service,In Person,Grad Student,Printing,San Francisco
8/27/14 14:50,Service,In Person,Undergrad,,San Francisco
8/27/14 14:51,Directional,In Person,Undergrad,,San Francisco
8/27/14 14:50,Reference,In Person,Grad Student,,San Francisco
8/28/14 11:05,Directional,In Person,Undergrad,,San Francisco
8/28/14 11:58,Technical/Computing,Email,Undergrad,VAULT,Online
8/28/14 12:14,Directional,In Person,Grad Student,,San Francisco
8/28/14 12:55,Technical/Computing,Email,Undergrad,VAULT,Online
8/28/14 12:59,Directional,In Person,Undergrad,,San Francisco
8/28/14 13:55,Directional,Phone,,,Oakland
8/28/14 14:10,Service,In Person,Undergrad,,San Francisco
8/28/14 14:25,Directional,In Person,,,Oakland
8/28/14 14:27,Directional,In Person,Faculty,,Oakland
8/28/14 14:38,Directional,In Person,,,Oakland
8/28/14 14:39,Directional,In Person,Faculty,,Oakland
8/28/14 15:14,Directional,In Person,,,Oakland
8/28/14 15:40,Service,In Person,Grad Student,Printing,San Francisco
8/28/14 15:44,Directional,In Person,Faculty,,Oakland
8/28/14 16:00,Service,Email,Faculty,,San Francisco
8/28/14 16:45,Reference,In Person,Undergrad,,Oakland
8/29/14 12:20,Technical/Computing,In Person,Undergrad,,Oakland
8/29/14 12:23,Service,Phone,,,Oakland
8/29/14 12:24,Service,In Person,Faculty,,Oakland
8/29/14 12:24,Technical/Computing,In Person,Faculty,Printing,Oakland
8/29/14 12:25,Technical/Computing,In Person,Faculty,Printing,Oakland
8/29/14 12:44,Technical/Computing,In Person,,Printing,Oakland
8/29/14 13:50,Service,Phone,Undergrad,,Oakland
8/29/14 13:56,Technical/Computing,In Person,Undergrad,Printing,Oakland
8/29/14 14:13,Service,In Person,,,Oakland
8/29/14 14:55,Service,In Person,Faculty,,Oakland
8/29/14 16:00,Service,In Person,Faculty,,San Francisco
8/29/14 16:00,Directional,In Person,Undergrad,,San Francisco
8/29/14 16:00,Directional,In Person,Grad Student,,San Francisco
8/29/14 16:04,Service,In Person,Grad Student,,San Francisco
8/29/14 16:06,Service,In Person,,Printing,Oakland
8/29/14 16:09,Directional,In Person,Undergrad,,San Francisco
8/29/14 16:26,Service,In Person,Undergrad,,San Francisco
8/29/14 16:27,Directional,In Person,Undergrad,,San Francisco
9/2/14 9:24,Technical/Computing,In Person,Undergrad,,San Francisco
9/2/14 9:25,Reference,In Person,Undergrad,,San Francisco
9/2/14 9:25,Reference,In Person,Undergrad,,San Francisco
9/2/14 9:29,Directional,In Person,Undergrad,,San Francisco
9/2/14 9:33,Service,Phone,Faculty,,San Francisco
9/2/14 9:33,Service,Phone,Faculty,,Oakland
9/2/14 9:33,Technical/Computing,In Person,Faculty,Printing,Oakland
9/2/14 9:34,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/2/14 9:34,Directional,In Person,Undergrad,,Oakland
9/2/14 9:34,Service,Phone,Grad Student,,San Francisco
9/2/14 10:12,Directional,In Person,Undergrad,,San Francisco
9/2/14 10:24,Directional,In Person,Undergrad,,San Francisco
9/2/14 10:34,Service,In Person,Faculty,,Oakland
9/2/14 10:52,Reference,In Person,Undergrad,,Oakland
9/2/14 10:52,Technical/Computing,In Person,Undergrad,,Oakland
9/2/14 10:57,Directional,In Person,Undergrad,,San Francisco
9/2/14 11:22,Reference,In Person,Grad Student,,San Francisco
9/2/14 11:55,Directional,In Person,Undergrad,,Oakland
9/2/14 11:55,Directional,In Person,,,Oakland
9/2/14 11:56,Directional,In Person,,,Oakland
9/2/14 11:56,Directional,In Person,,,Oakland
9/2/14 11:59,Directional,In Person,,,Oakland
9/2/14 12:18,Reference,In Person,Undergrad,,San Francisco
9/2/14 12:28,Technical/Computing,In Person,Undergrad,,Oakland
9/2/14 12:48,Directional,In Person,Grad Student,,San Francisco
9/2/14 12:48,Service,In Person,Grad Student,,San Francisco
9/2/14 12:48,Service,In Person,Grad Student,,San Francisco
9/2/14 12:48,Directional,In Person,Undergrad,,San Francisco
9/2/14 12:49,Directional,In Person,Faculty,Printing,San Francisco
9/2/14 14:51,Reference,In Person,Undergrad,,Oakland
9/2/14 15:22,Directional,In Person,Undergrad,,San Francisco
9/2/14 15:22,Directional,In Person,Faculty,,Oakland
9/2/14 15:22,Reference,In Person,Undergrad,,San Francisco
9/2/14 15:53,Directional,In Person,Undergrad,,San Francisco
9/2/14 15:54,Service,In Person,Grad Student,,San Francisco
9/2/14 15:59,Technical/Computing,Email,Undergrad,VAULT,Online
9/2/14 15:59,Technical/Computing,Email,Faculty,VAULT,Online
9/2/14 16:00,Directional,In Person,,,Oakland
9/2/14 17:15,Directional,In Person,Undergrad,,Oakland
9/2/14 17:15,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/2/14 17:19,Service,In Person,Undergrad,,Oakland
9/2/14 17:32,Directional,In Person,,,Oakland
9/2/14 17:00,Directional,In Person,,,Oakland
9/2/14 17:50,Directional,In Person,Undergrad,,San Francisco
9/2/14 17:50,Service,In Person,Undergrad,,San Francisco
9/2/14 17:59,Directional,In Person,Undergrad,,San Francisco
9/2/14 18:00,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/2/14 18:23,Directional,In Person,Undergrad,,San Francisco
9/2/14 18:28,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/2/14 18:30,Directional,In Person,,,Oakland
9/2/14 18:47,Service,In Person,Undergrad,,San Francisco
9/2/14 18:55,Service,In Person,,,Oakland
9/2/14 18:55,Service,In Person,,,Oakland
9/2/14 19:05,Technical/Computing,In Person,,Printing,Oakland
9/2/14 19:05,Directional,In Person,Undergrad,,Oakland
9/2/14 19:13,Reference,In Person,,,Oakland
9/2/14 19:13,Technical/Computing,In Person,,Printing,Oakland
9/2/14 19:17,Directional,In Person,,,Oakland
9/2/14 19:26,Service,In Person,,,Oakland
9/2/14 19:28,Technical/Computing,In Person,,,Oakland
9/2/14 21:16,Service,In Person,,,Oakland
9/2/14 15:30,Reference,In Person,Undergrad,,San Francisco
9/2/14 11:15,Reference,In Person,Faculty,,San Francisco
9/3/14 8:27,Service,In Person,Undergrad,,San Francisco
9/3/14 8:28,Directional,Phone,Undergrad,Misguided Phone Call,Oakland
9/3/14 9:19,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/3/14 9:27,Directional,In Person,Grad Student,,San Francisco
9/3/14 12:03,Directional,In Person,,,Oakland
9/3/14 12:03,Directional,In Person,,,Oakland
9/3/14 12:04,Directional,In Person,Undergrad,,Oakland
9/3/14 12:13,Service,In Person,Grad Student,,San Francisco
9/3/14 12:17,Technical/Computing,In Person,Undergrad,,Oakland
9/3/14 12:39,Technical/Computing,In Person,Undergrad,,Oakland
9/3/14 12:40,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/3/14 13:03,Directional,In Person,Undergrad,,San Francisco
9/3/14 13:03,Directional,In Person,Undergrad,,San Francisco
9/3/14 13:04,Service,In Person,Undergrad,,Oakland
9/3/14 13:14,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/3/14 13:21,Technical/Computing,In Person,Undergrad,,Oakland
9/3/14 14:09,Service,In Person,Faculty,Printing,San Francisco
9/3/14 15:01,Directional,In Person,Undergrad,,San Francisco
9/3/14 15:20,Service,Phone,Grad Student,,Oakland
9/3/14 15:36,Service,In Person,Undergrad,,Oakland
9/3/14 15:40,Directional,In Person,Undergrad,,San Francisco
9/3/14 15:41,Directional,In Person,Undergrad,,San Francisco
9/3/14 15:41,Directional,In Person,Grad Student,,San Francisco
9/3/14 15:41,Service,In Person,Undergrad,Printing,San Francisco
9/3/14 15:59,Directional,In Person,Undergrad,,San Francisco
9/3/14 16:21,Directional,Phone,Non-CCA affiliated,,Oakland
9/3/14 16:54,Directional,In Person,Grad Student,,San Francisco
9/3/14 16:54,Directional,In Person,Undergrad,,San Francisco
9/3/14 17:00,Service,In Person,Undergrad,Printing,San Francisco
9/3/14 17:12,Technical/Computing,In Person,Non-CCA affiliated,,Oakland
9/3/14 17:37,Service,In Person,Grad Student,Printing,San Francisco
9/3/14 17:49,Technical/Computing,In Person,Undergrad,,Oakland
9/3/14 17:49,Technical/Computing,In Person,Faculty,,Oakland
9/3/14 17:59,Service,In Person,Undergrad,Printing,San Francisco
9/3/14 17:59,Service,In Person,Undergrad,,San Francisco
9/3/14 17:59,Directional,In Person,Undergrad,,San Francisco
9/3/14 18:16,Service,In Person,Faculty,,San Francisco
9/3/14 18:16,Service,In Person,Undergrad,Printing,San Francisco
9/3/14 18:17,Directional,In Person,,,Oakland
9/3/14 18:21,Directional,In Person,Grad Student,,San Francisco
9/3/14 18:24,Service,In Person,Undergrad,,Oakland
9/3/14 18:24,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/3/14 18:28,Directional,In Person,Undergrad,,San Francisco
9/3/14 18:30,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/3/14 18:47,Technical/Computing,In Person,Faculty,Printing,Oakland
9/3/14 19:13,Directional,In Person,Undergrad,,San Francisco
9/3/14 19:14,Service,In Person,Undergrad,,San Francisco
9/3/14 19:29,Directional,In Person,Grad Student,,San Francisco
9/3/14 19:37,Service,In Person,Grad Student,,San Francisco
9/3/14 19:54,Directional,In Person,Undergrad,,San Francisco
9/3/14 20:00,Technical/Computing,In Person,,Printing,Oakland
9/3/14 20:00,Technical/Computing,In Person,,,Oakland
9/3/14 21:17,Technical/Computing,In Person,Alumni,Printing,Oakland
9/4/14 8:43,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 8:43,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 8:44,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 8:44,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 9:16,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 9:16,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 9:28,Reference,In Person,Undergrad,,Oakland
9/4/14 9:29,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 9:29,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 9:29,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 9:32,Technical/Computing,In Person,,,Oakland
9/4/14 9:40,Directional,In Person,Undergrad,,San Francisco
9/4/14 9:40,Service,In Person,Grad Student,,San Francisco
9/4/14 10:21,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 10:21,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 10:21,Service,In Person,Undergrad,,Oakland
9/4/14 10:34,Directional,In Person,Undergrad,,San Francisco
9/4/14 10:56,Directional,Phone,Google robot,Misguided Phone Call,San Francisco
9/4/14 11:34,Directional,In Person,Undergrad,,Oakland
9/4/14 11:34,Directional,In Person,Undergrad,,Oakland
9/4/14 11:35,Directional,In Person,,Printing,Oakland
9/4/14 11:47,Directional,In Person,Grad Student,,San Francisco
9/4/14 11:48,Service,In Person,Undergrad,,San Francisco
9/4/14 12:57,Directional,In Person,Undergrad,,San Francisco
9/4/14 13:10,Service,Phone,Faculty,,San Francisco
9/4/14 13:10,Service,In Person,Faculty,,San Francisco
9/4/14 13:10,Service,Email,Grad Student,,Online
9/4/14 13:11,Service,In Person,Undergrad,Printing,Oakland
9/4/14 13:35,Directional,In Person,Undergrad,,Oakland
9/4/14 14:17,Reference,In Person,Grad Student,,San Francisco
9/4/14 15:17,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 15:54,Directional,In Person,,,Oakland
9/4/14 15:54,Directional,In Person,,,Oakland
9/4/14 15:54,Service,In Person,,,Oakland
9/4/14 15:54,Service,In Person,,,Oakland
9/4/14 16:25,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/4/14 16:31,Service,In Person,Undergrad,,San Francisco
9/4/14 17:37,Service,In Person,Undergrad,Printing,San Francisco
9/4/14 18:44,Directional,In Person,Undergrad,,San Francisco
9/4/14 18:44,Directional,In Person,Undergrad,,San Francisco
9/4/14 19:45,Service,In Person,Grad Student,,San Francisco
9/4/14 21:57,Directional,In Person,Undergrad,,Oakland
9/5/14 9:00,Directional,In Person,,,Oakland
9/5/14 9:00,Directional,In Person,,,Oakland
9/5/14 9:23,Technical/Computing,In Person,Faculty,,Oakland
9/5/14 9:23,Technical/Computing,In Person,,,Oakland
9/5/14 9:31,Service,In Person,Faculty,,Oakland
9/5/14 9:55,Directional,In Person,,,Oakland
9/5/14 9:56,Directional,In Person,,,Oakland
9/5/14 9:56,Directional,In Person,,,Oakland
9/5/14 10:03,Directional,In Person,,,Oakland
9/5/14 11:19,Service,In Person,,Printing,San Francisco
9/5/14 11:22,Service,In Person,Faculty,,San Francisco
9/5/14 12:35,Directional,In Person,Undergrad,,San Francisco
9/5/14 14:02,Directional,In Person,Undergrad,,San Francisco
9/5/14 16:01,Reference,In Person,Grad Student,,San Francisco
9/5/14 16:01,Reference,In Person,Grad Student,,San Francisco
9/5/14 16:10,Reference,In Person,Undergrad,,Oakland
9/5/14 16:12,Service,Phone,person enrolled in jewelry making extension class,,Oakland
9/5/14 16:13,Service,In Person,Faculty,,Oakland
9/5/14 16:13,Technical/Computing,In Person,Faculty,,Oakland
9/5/14 16:54,Directional,In Person,Undergrad,,San Francisco
9/5/14 16:54,Service,In Person,Undergrad,,San Francisco
9/6/14 14:16,Technical/Computing,In Person,Grad Student,,Oakland
9/6/14 14:20,Directional,Phone,Grad Student,Materials Library,San Francisco
9/6/14 14:28,Directional,In Person,Undergrad,,Oakland
9/6/14 16:17,Service,In Person,Undergrad,,Oakland
9/7/14 14:14,Technical/Computing,In Person,,,Oakland
9/7/14 14:14,Technical/Computing,In Person,Undergrad,,Oakland
9/7/14 14:14,Service,In Person,Undergrad,,Oakland
9/7/14 14:16,Service,In Person,Undergrad,,Oakland
9/7/14 14:16,Technical/Computing,In Person,,,Oakland
9/7/14 14:57,Technical/Computing,In Person,Undergrad,,Oakland
9/7/14 16:27,Service,In Person,Alumni,,Oakland
9/7/14 17:24,Reference,In Person,,,Oakland
9/7/14 17:26,Reference,In Person,,,Oakland
9/7/14 17:55,Service,In Person,,,Oakland
9/7/14 19:04,Technical/Computing,In Person,,Printing,Oakland
9/7/14 19:04,Technical/Computing,In Person,,Printing,Oakland
9/8/14 8:17,Technical/Computing,In Person,,Printing,Oakland
9/8/14 9:04,Directional,In Person,Undergrad,,San Francisco
9/8/14 9:08,Directional,In Person,Undergrad,,San Francisco
9/8/14 9:31,Technical/Computing,In Person,,Printing,Oakland
9/8/14 9:37,Directional,In Person,Undergrad,,San Francisco
9/8/14 10:06,Directional,In Person,Grad Student,,San Francisco
9/8/14 10:52,Directional,In Person,,Printing,Oakland
9/8/14 10:52,Service,In Person,Undergrad,,Oakland
9/8/14 10:52,Technical/Computing,Email,Undergrad,VAULT,Oakland
9/8/14 10:57,Reference,In Person,Grad Student,,San Francisco
9/8/14 10:57,Reference,In Person,Undergrad,,San Francisco
9/8/14 11:20,Technical/Computing,In Person,,,Oakland
9/8/14 11:20,Technical/Computing,In Person,,Printing,Oakland
9/8/14 11:21,Technical/Computing,In Person,,Printing,Oakland
9/8/14 11:21,Technical/Computing,In Person,,Printing,Oakland
9/8/14 11:25,Directional,In Person,Undergrad,,San Francisco
9/8/14 11:31,Directional,In Person,Undergrad,,San Francisco
9/8/14 11:53,Directional,In Person,Undergrad,,San Francisco
9/8/14 12:22,Directional,In Person,Grad Student,Materials Library,San Francisco
9/8/14 12:54,Service,In Person,Undergrad,,Oakland
9/8/14 13:27,Reference,In Person,Undergrad,,San Francisco
9/8/14 13:28,Reference,In Person,Undergrad,,Oakland
9/8/14 14:19,Directional,In Person,Undergrad,,San Francisco
9/8/14 14:38,Directional,In Person,Undergrad,,Oakland
9/8/14 14:38,Service,In Person,Undergrad,,Oakland
9/8/14 14:46,Service,In Person,Undergrad,,San Francisco
9/8/14 14:55,Service,In Person,Undergrad,Printing,San Francisco
9/8/14 14:55,Service,In Person,Undergrad,Printing,San Francisco
9/8/14 15:00,Directional,In Person,Undergrad,,San Francisco
9/8/14 15:21,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/8/14 15:22,Service,In Person,Grad Student,Printing,San Francisco
9/8/14 15:22,Service,Phone,Undergrad,,San Francisco
9/8/14 16:20,Reference,In Person,Undergrad,,San Francisco
9/8/14 16:20,Reference,In Person,Grad Student,,San Francisco
9/8/14 16:20,Reference,In Person,Grad Student,,San Francisco
9/8/14 16:20,Reference,In Person,Grad Student,,San Francisco
9/8/14 16:13,Technical/Computing,In Person,Undergrad,Printing,San Francisco
9/8/14 16:30,Reference,In Person,Grad Student,,San Francisco
9/8/14 16:47,Directional,In Person,Undergrad,,San Francisco
9/8/14 17:06,Directional,In Person,Undergrad,,San Francisco
9/8/14 17:18,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/8/14 17:18,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/8/14 17:18,Reference,In Person,Undergrad,,Oakland
9/8/14 17:37,Directional,In Person,Undergrad,,San Francisco
9/8/14 17:46,Directional,In Person,,,Oakland
9/8/14 17:46,Directional,In Person,,,Oakland
9/8/14 18:28,Service,In Person,Undergrad,,Oakland
9/8/14 18:35,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/8/14 18:51,Technical/Computing,In Person,Undergrad,,Oakland
9/8/14 18:51,Technical/Computing,In Person,Undergrad,,Oakland
9/8/14 19:15,Directional,In Person,Grad Student,,San Francisco
9/8/14 19:27,Service,In Person,Grad Student,,San Francisco
9/8/14 20:59,Technical/Computing,In Person,Undergrad,Moodle,Oakland
9/8/14 21:05,Technical/Computing,In Person,,Printing,Oakland
9/9/14 8:20,Technical/Computing,Email,Undergrad,,Oakland
9/9/14 9:04,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/9/14 9:04,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/9/14 9:04,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/9/14 9:05,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/9/14 9:53,Reference,In Person,Grad Student,,Oakland
9/9/14 9:53,Reference,Phone,Staff,,Oakland
9/9/14 9:55,Reference,Email,Undergrad,,San Francisco
9/9/14 9:57,Directional,In Person,Undergrad,,San Francisco
9/9/14 9:58,Service,In Person,Undergrad,,San Francisco
9/9/14 10:05,Reference,Email,Faculty,,San Francisco
9/9/14 10:21,Service,In Person,Undergrad,,San Francisco
9/9/14 10:22,Reference,In Person,Undergrad,,Oakland
9/9/14 10:47,Service,In Person,Undergrad,Printing,San Francisco
9/9/14 10:47,Directional,In Person,Grad Student,,San Francisco
9/9/14 10:48,Reference,In Person,Undergrad,,Oakland
9/9/14 11:40,Reference,In Person,Undergrad,,Oakland
9/9/14 11:55,Reference,In Person,Undergrad,,Oakland
9/9/14 12:58,Technical/Computing,In Person,,Printing,Oakland
9/9/14 12:58,Directional,In Person,Undergrad,,Oakland
9/9/14 13:02,Reference,In Person,Undergrad,,San Francisco
9/9/14 13:10,Service,In Person,Faculty,,San Francisco
9/9/14 13:30,Service,In Person,Undergrad,,Oakland
9/9/14 13:31,Directional,In Person,Grad Student,,San Francisco
9/9/14 13:37,Reference,In Person,Undergrad,,San Francisco
9/9/14 14:04,Service,In Person,Undergrad,,San Francisco
9/9/14 14:28,Reference,In Person,Undergrad,,Oakland
9/9/14 14:29,Directional,In Person,Undergrad,,San Francisco
9/9/14 14:39,Directional,In Person,,,Oakland
9/9/14 15:08,Directional,In Person,Alumni,,Oakland
9/9/14 15:45,Service,In Person,Undergrad,,Oakland
9/9/14 15:45,Technical/Computing,In Person,,Printing,Oakland
9/9/14 16:02,Directional,In Person,,,Oakland
9/9/14 17:03,Technical/Computing,In Person,,,Oakland
9/9/14 17:31,Technical/Computing,In Person,,Printing,Oakland
9/9/14 18:21,Technical/Computing,In Person,,Printing,Oakland
9/9/14 18:52,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/10/14 8:34,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/10/14 9:14,Directional,In Person,Staff,,San Francisco
9/10/14 9:15,Directional,In Person,Grad Student,,San Francisco
9/10/14 9:22,Service,In Person,Undergrad,Printing,Oakland
9/10/14 9:23,Service,In Person,Undergrad,,Oakland
9/9/14 16:00,Reference,Email,Grad Student,,San Francisco
9/10/14 9:31,Service,In Person,Undergrad,,Oakland
9/10/14 9:35,Directional,In Person,Undergrad,Printing,San Francisco
9/10/14 11:39,Service,In Person,Faculty,,San Francisco
9/10/14 11:57,Service,In Person,Undergrad,,San Francisco
9/10/14 12:12,Service,In Person,Grad Student,,San Francisco
9/10/14 12:25,Technical/Computing,In Person,,Printing,Oakland
9/10/14 12:36,Directional,Phone,,,Oakland
9/10/14 12:58,Service,In Person,Grad Student,,San Francisco
9/10/14 13:06,Directional,In Person,Undergrad,,San Francisco
9/10/14 13:21,Technical/Computing,In Person,,Printing,Oakland
9/10/14 13:36,Service,In Person,Undergrad,,Oakland
9/10/14 13:36,Service,In Person,Undergrad,Printing,Oakland
9/10/14 13:36,Service,In Person,Undergrad,Printing,Oakland
9/10/14 13:37,Service,In Person,Faculty,Printing,Oakland
9/10/14 14:18,Service,In Person,Grad Student,,San Francisco
9/10/14 14:42,Reference,In Person,,,Oakland
9/10/14 15:10,Reference,In Person,Undergrad,,San Francisco
9/10/14 15:10,Reference,In Person,Grad Student,,San Francisco
9/10/14 15:31,Directional,In Person,Undergrad,,San Francisco
9/10/14 15:31,Service,In Person,Undergrad,Printing,San Francisco
9/10/14 15:32,Service,In Person,Undergrad,Printing,San Francisco
9/10/14 15:44,Directional,In Person,,,Oakland
9/10/14 16:35,Service,In Person,Grad Student,,San Francisco
9/10/14 17:00,Directional,In Person,Undergrad,,San Francisco
9/10/14 17:09,Directional,In Person,Undergrad,,Oakland
9/10/14 17:20,Technical/Computing,In Person,Undergrad,,Oakland
9/10/14 17:30,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/10/14 17:38,Directional,In Person,Undergrad,,Oakland
9/10/14 18:01,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/10/14 18:01,Service,In Person,,,Oakland
9/10/14 19:12,Directional,In Person,Undergrad,,San Francisco
9/10/14 19:12,Directional,In Person,Undergrad,,San Francisco
9/10/14 19:13,Service,In Person,Undergrad,,San Francisco
9/10/14 19:17,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/10/14 19:18,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/10/14 19:18,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/11/14 9:50,Technical/Computing,In Person,,Printing,Oakland
9/11/14 10:06,Service,In Person,,,Oakland
9/11/14 10:35,Service,Email,Grad Student,,San Francisco
9/11/14 10:35,Reference,Email,Grad Student,,San Francisco
9/11/14 11:41,Service,In Person,Undergrad,Printing,San Francisco
9/11/14 14:14,Reference,In Person,Undergrad,,San Francisco
9/11/14 14:14,Reference,In Person,Grad Student,,San Francisco
9/11/14 15:05,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/11/14 15:11,Directional,In Person,Undergrad,,San Francisco
9/11/14 15:11,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/11/14 16:51,Reference,Email,Grad Student,,San Francisco
9/11/14 16:52,Reference,Email,Undergrad,,San Francisco
9/11/14 17:28,Service,In Person,,Printing,San Francisco
9/11/14 18:34,Directional,In Person,Undergrad,,San Francisco
9/11/14 18:49,Technical/Computing,In Person,,Printing,Oakland
9/11/14 18:49,Service,Phone,Faculty,,Oakland
9/11/14 18:49,Service,Phone,,,Oakland
9/11/14 19:19,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/11/14 22:41,Reference,In Person,Undergrad,,Oakland
9/11/14 22:41,Technical/Computing,In Person,Undergrad,Printing,Oakland
9/11/14 22:41,Reference,In Person,Undergrad,,Oakland
9/12/14 9:38,Technical/Computing,In Person,Faculty,VAULT,Oakland
9/12/14 10:01,Technical/Computing,In Person,,Printing,Oakland
9/12/14 10:57,Technical/Computing,In Person,,Printing,Oakland
9/12/14 10:58,Technical/Computing,In Person,,Printing,Oakland
9/12/14 10:58,Directional,In Person,,Printing,Oakland
